nom_station,annee,mois,jour,temperature,humidite,precipitations,vent,pression,indice_uv,score
Station_Fes,janvier,1,nan,53,10,65,nan,3,38
Station_Fes,janvier,2,22,1,nan,nan,nan,nan,28
Station_Fes,janvier,3,6,42,nan,87,nan,nan,20
Station_Fes,janvier,4,5,nan,16,90,nan,4,20
Station_Fes,janvier,5,nan,nan,nan,39,nan,nan,8
Station_Fes,janvier,6,nan,82,nan,51,987,10,16
Station_Fes,janvier,7,nan,nan,18,57,nan,nan,8
Station_Fes,janvier,8,40,99,11,65,996,7,19
Station_Fes,janvier,9,nan,98,13,nan,nan,2,18
Station_Fes,janvier,10,nan,97,nan,15,1017,5,48
Station_Fes,janvier,11,nan,84,nan,65,nan,nan,3
Station_Fes,janvier,12,nan,42,nan,nan,991,1,33
Station_Fes,janvier,13,nan,70,20,nan,1017,nan,30
Station_Fes,janvier,14,nan,38,12,90,nan,nan,8
Station_Fes,janvier,15,22,69,nan,80,nan,nan,40
Station_Fes,janvier,16,nan,nan,nan,nan,nan,10,2
Station_Fes,janvier,17,nan,100,8,nan,1025,nan,26
Station_Fes,janvier,18,31,nan,nan,68,nan,nan,15
Station_Fes,janvier,19,9,81,0,nan,nan,6,31
Station_Fes,janvier,20,28,15,13,nan,nan,5,43
Station_Fes,janvier,21,15,nan,nan,nan,nan,nan,15
Station_Fes,janvier,22,28,nan,13,nan,986,nan,28
Station_Fes,janvier,23,nan,81,8,15,nan,nan,26
Station_Fes,janvier,24,nan,99,2,38,1038,6,37
Station_Fes,janvier,25,8,nan,17,31,nan,nan,13
Station_Fes,janvier,26,4,94,19,nan,nan,7,16
Station_Fes,janvier,27,24,11,nan,nan,1039,nan,31
Station_Fes,janvier,28,21,nan,8,87,1036,nan,36
Station_Fes,janvier,29,nan,nan,9,nan,nan,4,23
Station_Fes,janvier,30,17,nan,11,nan,989,nan,18
Station_Fes,janvier,31,16,67,18,nan,nan,nan,30
Station_Fes,fevrier,1,37,nan,14,83,nan,nan,5
Station_Fes,fevrier,2,3,nan,nan,92,nan,nan,5
